iter	MultiClass	Accuracy
342	1.252348914	0.5848
343	1.251487689	0.5853333333
344	1.250090459	0.5866666667
345	1.249200848	0.5866
346	1.248301483	0.587
347	1.247315656	0.5872666667
348	1.246297438	0.5878666667
349	1.245288551	0.5894666667
350	1.244883322	0.5892666667
351	1.244521175	0.5894
352	1.243463946	0.5901333333
353	1.242450004	0.5905333333
354	1.241721608	0.5902
355	1.240925383	0.5913333333
356	1.2402922	0.5917333333
357	1.239611986	0.5921333333
358	1.239064962	0.5917333333
359	1.23825255	0.5922
360	1.237501429	0.5925333333
361	1.237163509	0.5933333333
362	1.23645352	0.5936
363	1.235974598	0.5934666667
364	1.235072644	0.5947333333
365	1.234821151	0.5951333333
366	1.233870841	0.5954
367	1.23311118	0.5954666667
368	1.23199651	0.5961333333
369	1.231782977	0.5961333333
370	1.231236029	0.5967333333
371	1.23041538	0.5971333333
372	1.229644383	0.5966
373	1.228511907	0.597
374	1.228158686	0.597
375	1.227567373	0.5969333333
376	1.226999721	0.5974666667
377	1.22654903	0.5974
378	1.225596606	0.5976666667
379	1.224780305	0.5981333333
380	1.223866633	0.5979333333
381	1.223417691	0.5980666667
382	1.222645195	0.5984666667
383	1.221706649	0.599
384	1.221184338	0.599
385	1.220782299	0.5992666667
386	1.220142552	0.5989333333
387	1.219138526	0.5994
388	1.218161038	0.6000666667
389	1.217761907	0.6000666667
390	1.217067394	0.6000666667
391	1.215961273	0.6008
392	1.215600629	0.601
393	1.215047819	0.6014
394	1.214396138	0.6011333333
395	1.213495614	0.6011333333
396	1.212689288	0.6018666667
397	1.211615501	0.603
398	1.210721679	0.6036666667
399	1.210129034	0.6042
400	1.209380683	0.6044666667
401	1.20893102	0.6047333333
402	1.208689737	0.6044666667
403	1.208031489	0.6047333333
404	1.207321436	0.6049333333
405	1.206540737	0.6052
406	1.205944569	0.6057333333
407	1.204878905	0.6054
408	1.204563561	0.6056
409	1.204272202	0.6054
410	1.20316749	0.6064
411	1.202269107	0.6062666667
412	1.20126956	0.6069333333
413	1.200856169	0.6070666667
414	1.199757071	0.6079333333
415	1.199160407	0.6080666667
416	1.198517729	0.6090666667
417	1.197764648	0.6095333333
418	1.196869502	0.6096
419	1.196353539	0.6098666667
420	1.195511545	0.6097333333
421	1.195031706	0.6096
422	1.194224447	0.6099333333
423	1.193181138	0.6106666667
424	1.192475815	0.6112666667
